id,admin_country,admin_country_code,admin_name_field,admin_id_field,admin_year,admin_illegality_max,intersected_area_ha
BO14_0,Bolivia,BO,San Javier,BO080102,2019,3.0,5.101490878449149
BO193_0,Bolivia,BO,Puerto Villarroel,BO031205,2018,3.0,21.317296289450447
BO220_0,Bolivia,BO,Nueva Esperanza,BO090501,2018,1.0,3.2802041742647075
BO220_0,Bolivia,BO,Nueva Esperanza,BO090501,2018,3.0,130.8597740720281
BO220_0,Bolivia,BO,Nueva Esperanza,BO090501,2020,3.0,13.775891346479604
BO5_0,Bolivia,BO,Baures,BO080802,2023,1.0,27.355164274357364
BO5_0,Bolivia,BO,Magdalena,BO080801,2019,4.0,27.413614104279468
BO5_0,Bolivia,BO,Magdalena,BO080801,2022,4.0,27.43385730508602
BOAP-0301_0,Bolivia,BO,San Ignacio,BO080501,2019,4.0,55.14289285618172
BOAP-0301_0,Bolivia,BO,Villa Tunari,BO031003,2022,4.0,27.585620437736747
BOAP-0301_0,Bolivia,BO,Villa Tunari,BO031003,2023,4.0,41.33253601339487
BOAP-0405_0,Bolivia,BO,Mapiri,BO020607,2018,4.0,94.70709875775032
BOAP-0405_0,Bolivia,BO,Mapiri,BO020607,2024,4.0,27.24884146414066
BOAP-0604_0,Bolivia,BO,Puerto Rico,BO090201,2021,4.0,40.84310010413203
BOAP-1301_0,Bolivia,BO,Shinahota,BO031602,2022,4.0,27.543670160298515
BOAP-1601_0,Bolivia,BO,Ixiamas,BO021501,2023,4.0,27.29148927883555
BR1001_0,Brasil,BR,Parauapebas,1505536,2018,3.0,18.88594070487216
BR1001_0,Brasil,BR,Parauapebas,1505536,2022,3.0,14.338546470879297
BR1001_0,Brasil,BR,Parauapebas,1505536,2023,3.0,51.92873416949236
BR1012_0,Brasil,BR,Altamira,1500602,2018,3.0,71.03177483345178
BR1012_0,Brasil,BR,Altamira,1500602,2019,3.0,741.0236294250058
BR1012_0,Brasil,BR,Altamira,1500602,2020,3.0,135.1656568704755
BR1012_0,Brasil,BR,Altamira,1500602,2023,3.0,10.691975842573587
BR1012_0,Brasil,BR,Altamira,1500602,2024,3.0,26.478081605868287
BR1012_0,Brasil,BR,Itaituba,1503606,2018,3.0,67.92517708234116
BR1012_0,Brasil,BR,Itaituba,1503606,2018,4.0,19.81795043782516
BR1012_0,Brasil,BR,Itaituba,1503606,2019,2.0,40.74928923614862
BR1012_0,Brasil,BR,Itaituba,1503606,2019,3.0,1804.0765427750034
BR1012_0,Brasil,BR,Itaituba,1503606,2019,4.0,144.8379298276342
BR1012_0,Brasil,BR,Itaituba,1503606,2020,3.0,581.9200816816451
BR1012_0,Brasil,BR,Itaituba,1503606,2020,4.0,40.67579283096499
BR1012_0,Brasil,BR,Itaituba,1503606,2021,3.0,241.8696363653096
BR1012_0,Brasil,BR,Itaituba,1503606,2022,3.0,55.38075468930754
BR1012_0,Brasil,BR,Itaituba,1503606,2023,3.0,169.068573644611
BR1012_0,Brasil,BR,Itaituba,1503606,2024,3.0,13.584289953140715
BR1012_0,Brasil,BR,Trairão,1508050,2018,3.0,1081.777627930459
BR1012_0,Brasil,BR,Trairão,1508050,2019,3.0,229.51598895226357
BR1012_0,Brasil,BR,Trairão,1508050,2019,4.0,62.7840532006599
BR1012_0,Brasil,BR,Trairão,1508050,2020,3.0,499.69616238565857
BR1012_0,Brasil,BR,Trairão,1508050,2020,4.0,33.9826618673231
BR1012_0,Brasil,BR,Trairão,1508050,2021,3.0,347.6304440467774
BR1012_0,Brasil,BR,Trairão,1508050,2022,3.0,428.60939811271834
