id,admin_country,admin_country_code,admin_name_field,admin_id_field,admin_year,admin_illegality_max,intersected_area_ha
BO60008_0,Bolivia,BO,Ixiamas,BO021501,2024,4.0,27.255835750849045
BO60012_0,Bolivia,BO,Guanay,BO020602,2023,3.0,51.021217530860376
BO60012_0,Bolivia,BO,Mapiri,BO020607,2018,1.0,40.84691203749932
BO60012_0,Bolivia,BO,Mapiri,BO020607,2021,1.0,13.615777139746537
BO60012_0,Bolivia,BO,Mapiri,BO020607,2023,3.0,64.71276158363655
BO60018_0,Bolivia,BO,Reyes,BO080301,2019,3.0,13.03990016034797
BO60033_0,Bolivia,BO,San Ignacio,BO080501,2019,4.0,55.14289285618172
BO60042_0,Bolivia,BO,TIOC-TIM,BO080901,2022,3.0,27.59333248474399
BO60054_0,Bolivia,BO,Magdalena,BO080801,2022,4.0,27.43385730508602
BO60055_0,Bolivia,BO,Magdalena,BO080801,2019,4.0,27.413614104279468
BR1001_0,Brasil,BR,Nova Esperança do Piriá,1504950,2018,3.0,13.405564417583545
BR1001_0,Brasil,BR,Paragominas,1505502,2018,3.0,14.094080364145798
BR1101_0,Brasil,BR,São Gabriel da Cachoeira,1303809,2018,3.0,27.241057044739033
BR1101_0,Brasil,BR,São Gabriel da Cachoeira,1303809,2020,3.0,40.84086266605401
BR1101_0,Brasil,BR,São Gabriel da Cachoeira,1303809,2022,3.0,63.4068802203491
BR1101_0,Brasil,BR,São Gabriel da Cachoeira,1303809,2023,3.0,13.625817971228424
BR1101_0,Brasil,BR,São Gabriel da Cachoeira,1303809,2024,3.0,27.219812230606728
BR11201_0,Brasil,BR,Juína,5105150,2018,3.0,33.977416037908235
BR22902_0,Brasil,BR,Apiacás,5100805,2018,3.0,27.396088460724144
BR22902_0,Brasil,BR,Apiacás,5100805,2022,3.0,13.696402532462951
BR23001_0,Brasil,BR,Bannach,1501253,2018,3.0,353.44793037574
BR23001_0,Brasil,BR,Bannach,1501253,2019,3.0,28.373454178796283
BR23001_0,Brasil,BR,Bannach,1501253,2020,3.0,13.988095685896056
BR23001_0,Brasil,BR,Bannach,1501253,2021,3.0,66.32186652553541
BR23001_0,Brasil,BR,Bannach,1501253,2022,3.0,62.525691671369714
BR23001_0,Brasil,BR,Bannach,1501253,2023,3.0,71.19546393648314
BR23001_0,Brasil,BR,Bannach,1501253,2024,3.0,34.15151420656325
BR23001_0,Brasil,BR,Cumaru do Norte,1502764,2018,3.0,5139.522619692616
BR23001_0,Brasil,BR,Cumaru do Norte,1502764,2019,3.0,2429.677379106272
BR23001_0,Brasil,BR,Cumaru do Norte,1502764,2020,3.0,2395.4726493870708
BR23001_0,Brasil,BR,Cumaru do Norte,1502764,2021,3.0,2971.023519064978
